cepet,cepat
lgapk,kelambatan aplikasi
akalseperti,akal seperti
jngan,jangan
anjeng,anjing
mayanlah,lumayan
custumer,pelanggan
reibet,ribet
pantesan,pantas
pelangganya,pelanggan
kalok,kalau
emailmohon,email moho
nomorlapor,nomor lapor
brapa,berapa
dscrennsotpusing,discreenshot pusing
sayakasih,saya kasih
konfirm,konfirmasi
stelah,setelah
gada,tidak ada
kesel,kesal
gojeksangat,gojek sangat
anterin,antarkan
ajaterima,saja terima
siip,sip
saldoy,saldo
gaguna,tidak berguna
kembaliuntuk,kembali untuk
sekalikasihan,sekali kasihan
harilangganan,hari langganan
komplen,komplain
masalahseolah,masalah seolah
lakukaningin,lakukan ingin
mageran,malas
oooookkkkkkkeee,oke
penyelamatkuu,penyelamat aku
karyana,karya
ongkosnyatdk,ongkos tidak
baguspengemudi,bagus pengemudi
okeeh,oke
masi,masih
vocher,kupon
pkoknya,pokok
sebabsaya,sebab saya
bisabagaimana,bisa bagaimana
halsayangnya,hal sayang
membantukeren,membantu keren
lanjutiuang,lanjuti uang
kembalikansaldo,kembalikan saldo
skg,sekarang
dikondikan,dikondisikan
ujungujungnya,ujung
keluang,keulanh
pkek,pakai
nomernta,nomor
dikembalikanapa,mengembalikan
pohak,pihak
sayamohon,saya mohon
ceweq,perempuan
salh,salah
erro,kesalahan
baguuuuss,bagus
ramahbw,ramah
susahmau,susah mau
samajawaban,sama jawaban
sekalijika,sekali jika
berulangkali,berulang kali
trnsksi,transaksi
diperbaruhi,memperbarui
trnfer,transfer
ja,saja
offf,off
aktifkn,aktifkan
mudh,mudah
senila,senilai
tggl,tanggal
terisisaya,terisi saya
berhasiltetapi,berhasil tetapi
okkkkkkkkkkkkkoooooo,oke
nungguin,menunggu
keselll,kesal
jln,jalan
ujan,hujan
emg,memang
indo,indonesia
membantutpi,membantu tapi
bnget,banget
dlukita,dulu kita
tokonyaini,toko ini
gojeknyabukan,gojek bukan
pengemudiklo,penggemudi kalau
duhhh,aduh
trafficnya,macet
astagaaa,nan
aplikasinyasampe,aplikasi sampai
halalnon,halal tidak
endtask,menghentikan
entask,menghentikan
siiip,sip
ngomong,berbicara
bessst,terbaik
ter,sangat
voucer,kupon
dipakemuter,dipakai mutar
uninstalinstal,menghapus
ojeg,ojek
bisayang,bisa yang
ngak,tidak
bnyak,banyak
berkahhh,berkah
amiin,amin
parahhh,parah
adasaya,ada saya
koneksinyaketerangnnya,koneksi keterangan
orangggpdhl,orang padahal
adakocakkkkkkkkkkkkkk,ada lucu
konsistenn,konsisten
kepake,terpakai
yoba,coba
orgramah,orang ramah
sajajangan,saja jangan
gitujangan,gitu jangan
gopaysegera,gopay segera
pilihpilih,pilih pilih
krna,karena
adain,adakan
gagallsudah,gagal sudah
kaliparahh,kali parah
lemottlolaaa,lemot
peringatn,peringatan
limaaplikasi,lima aplikasi
meres,meras
futur,fitur
dikurangin,dikurangi
nyampe,sampai
diskongratis,diskon gratis
dinaikin,menaikkan
rusakkecewa,rusak kecewa
